References	Qty	Description	Part Number	Manufacturer	Mouser	Digikey
R1, R2	2	4.7K 1206	RC1206FR-074K7L	Yageo	603-RC1206FR-074K7L	311-4.70KFRCT-ND
R3 - R6	5	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R7, R8	2	470 1206	RC1206FR-07470RL	Yageo	603-RC1206FR-07470RL	311-470FRTR-ND
R9, R10	2	1K 1206	RC1206FR-071KL (LED)	Yageo	603-RC1206FR-071KL	311-1.00KFRCT-ND
C1, C3	2	10nF 1206	C1206C103K5RACTU	KEMET	80-C1206C103K5R	399-1234-1-ND
C2	1	100nF 1206	 C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
LED1, LED2	2	Indicator LED's	AA3528SURSK	Kingbright	604-AA3528SURSK	754-1537-1-ND
NEO	2	SK6812 LED (Neopixel)	SK6812	Adafruit	485-1655	1528-1104-ND
ICS1	1	8Pin-DIL-Socket	DILB8P-223TLF	Amphenol FCI	649-DILB8P223TLF	609-4717-ND
IC1	1	Attiny85	ATtiny85-20SU	Microchip Technology / Atmel	556-ATTINY85-20PU	ATTINY85-20PU-ND
B1, B2	2	Control buttons	B3F-1005	Omron	653-B3F-1005	SW793-ND
B3	1	Reset Button	95C04A3GWRT	Grayhill	706-95C04A3GWRT	GH7643CT-ND
Jack	2	Mini-Jack female 3.5mm	SJ1-3525N	CUI	490-SJ1-3525N	CP1-3525N-ND
Pot 1	1	16mm linear potentiometer	P160KN-0QC15B10K	BI	858-P160KN-0QC15B10K	987-1301-ND
Pot 2 (optional)	1	16mm linear potentiometer	P160KN-0QC15B10K	BI	858-P160KN-0QC15B10K	987-1301-ND
